bin_left,bin_right,count,percentage
0.0,0.05,82484,0.9977742294479122
0.05,0.1,30,0.0003628973726230222
0.1,0.15,41,0.0004959597425847971
0.15,0.2,45,0.0005443460589345333
0.2,0.25,31,0.00037499395171045627
0.25,0.3,15,0.0001814486863115111
0.3,0.35,12,0.00014515894904920887
0.35,0.4,7,8.467605361203852e-05
0.4,0.45,0,0.0
0.45,0.5,0,0.0
0.5,0.55,0,0.0
0.55,0.6,0,0.0
0.6,0.65,2,2.419315817486815e-05
0.65,0.7,0,0.0
0.7,0.75,0,0.0
0.75,0.8,0,0.0
0.8,0.85,0,0.0
0.85,0.9,1,1.2096579087434074e-05
0.9,0.95,0,0.0
0.95,1.0,0,0.0
