base_channels,batch_size,conv_layers,dropout,kernel_size,learning_rate,max_epochs,number,rhythm_hidden,state,value,weight_decay
8,64,3,0.4,11,0.0016967533607196547,15,0,32,TrialState.COMPLETE,0.901382350025413,0.001
32,64,2,0.1,5,0.00252126790477792,13,1,32,TrialState.COMPLETE,0.9248151489701169,0.0
8,128,2,0.4,9,0.0007641361869233315,18,2,16,TrialState.COMPLETE,0.8993514768475517,0.0
16,64,3,0.30000000000000004,9,0.001193526270851053,6,3,64,TrialState.COMPLETE,0.9064878975584765,0.0
16,64,2,0.25,5,0.0005917520523090669,19,4,64,TrialState.COMPLETE,0.9204079814819076,0.0
16,64,2,0.35,11,0.00018861950443028856,12,5,64,TrialState.PRUNED,0.8416352637510396,0.001
8,64,4,0.30000000000000004,5,0.0003444490684211452,15,6,16,TrialState.PRUNED,0.7627882003726337,0.0
32,128,3,0.15000000000000002,11,0.0011903203173999196,8,7,64,TrialState.COMPLETE,0.9043398511912442,0.0001
16,128,2,0.1,9,0.0003190041672417553,13,8,64,TrialState.PRUNED,0.8446689601612413,1e-05
32,128,2,0.30000000000000004,11,0.00013313275850595146,8,9,16,TrialState.PRUNED,0.6582050315648239,1e-05
32,256,4,0.2,7,0.0021914469472126626,11,10,32,TrialState.PRUNED,0.8601673840707255,0.0001
16,64,2,0.2,5,0.0029416807951044752,20,11,32,TrialState.COMPLETE,0.9186832375224909,0.0
32,256,3,0.1,5,0.0005679175373599143,17,12,32,TrialState.PRUNED,0.7730056180455879,0.0
16,64,2,0.2,5,0.0005419717159092674,20,13,64,TrialState.PRUNED,0.884117083076035,0.0
32,64,2,0.25,5,0.0010541781445471098,17,14,32,TrialState.PRUNED,0.803544058391139,0.0
32,64,3,0.15000000000000002,7,0.00029742825419440606,14,15,64,TrialState.PRUNED,0.8042271665222037,0.0
16,256,2,0.25,5,0.0018612602492827305,10,16,32,TrialState.PRUNED,0.8531761323079797,0.001
32,64,3,0.15000000000000002,5,0.002956933288963519,18,17,64,TrialState.PRUNED,0.8414095909249779,0.0001
16,64,2,0.1,5,0.0004981754142734415,9,18,32,TrialState.PRUNED,0.8562183966980375,1e-05
8,256,2,0.25,7,0.0008267235200533112,16,19,16,TrialState.PRUNED,0.8077181329315566,0.0
32,64,3,0.35,5,0.00019127858234179652,13,20,64,TrialState.PRUNED,0.7651435782129742,0.0
16,64,2,0.2,5,0.0029220517511443387,20,21,32,TrialState.PRUNED,0.8818916008139686,0.0
16,64,2,0.2,5,0.0016090796792650036,19,22,32,TrialState.COMPLETE,0.919009127654389,0.0
16,64,2,0.15000000000000002,5,0.0014758181903208381,18,23,32,TrialState.PRUNED,0.8981405483797698,0.0
16,64,2,0.25,5,0.0021679444299085907,19,24,32,TrialState.PRUNED,0.8910918474854261,0.0
16,64,2,0.2,5,0.0007239037326880436,16,25,32,TrialState.PRUNED,0.8686417196625724,0.0
16,64,2,0.1,5,0.0013682790246960384,19,26,32,TrialState.COMPLETE,0.9278508279772776,0.001
16,64,2,0.1,9,0.000396618712988596,16,27,32,TrialState.PRUNED,0.8839407981229981,0.001
8,128,3,0.1,7,0.0009436672339084997,6,28,16,TrialState.PRUNED,0.841450041070982,0.001
32,256,3,0.15000000000000002,11,0.0013168804170612684,14,29,64,TrialState.PRUNED,0.8929782290588936,0.001
8,64,2,0.4,5,0.0020604820883288306,19,30,32,TrialState.PRUNED,0.8653772137746701,0.001
16,64,2,0.15000000000000002,5,0.001772810757550949,19,31,32,TrialState.PRUNED,0.8807346173126562,0.001
16,64,2,0.1,5,0.0015297698149655023,17,32,32,TrialState.COMPLETE,0.9167654518704011,0.0001
16,64,2,0.25,5,0.002397494649688249,18,33,32,TrialState.PRUNED,0.8931760165819357,0.0
16,64,2,0.35,9,0.000692690991286081,19,34,32,TrialState.PRUNED,0.8431361432287712,1e-05
16,64,2,0.30000000000000004,5,0.001520882928991219,15,35,16,TrialState.PRUNED,0.8119655117551773,0.0
8,64,2,0.15000000000000002,5,0.0011751740636719958,20,36,64,TrialState.PRUNED,0.8690677643097743,0.001
16,128,2,0.2,11,0.00025901367975500033,18,37,32,TrialState.PRUNED,0.8247602478864406,0.0
16,64,4,0.30000000000000004,9,0.0009198782662575848,12,38,64,TrialState.PRUNED,0.802316782470385,0.0
